20
1	1	0	
1	2	34	
1	3	37	
1	4	28	
1	5	16	
1	6	44	
1	7	36	
1	8	37	
1	9	43	
1	10	50	
1	11	22	
1	12	13	
1	13	28	
1	14	41	
1	15	10	
1	16	14	
1	17	27	
1	18	41	
1	19	27	
1	20	23	
2	1	37	
2	2	0	
2	3	12	
2	4	19	
2	5	18	
2	6	30	
2	7	33	
2	8	31	
2	9	13	
2	10	24	
2	11	18	
2	12	36	
2	13	30	
2	14	3	
2	15	23	
2	16	9	
2	17	20	
2	18	18	
2	19	44	
2	20	7	
3	1	12	
3	2	43	
3	3	0	
3	4	30	
3	5	24	
3	6	22	
3	7	20	
3	8	35	
3	9	38	
3	10	49	
3	11	25	
3	12	16	
3	13	21	
3	14	14	
3	15	27	
3	16	42	
3	17	31	
3	18	7	
3	19	24	
3	20	13	
4	1	21	
4	2	47	
4	3	32	
4	4	0	
4	5	6	
4	6	26	
4	7	35	
4	8	28	
4	9	37	
4	10	6	
4	11	47	
4	12	30	
4	13	14	
4	14	8	
4	15	25	
4	16	46	
4	17	33	
4	18	46	
4	19	15	
4	20	18	
5	1	35	
5	2	15	
5	3	44	
5	4	1	
5	5	0	
5	6	38	
5	7	9	
5	8	27	
5	9	29	
5	10	39	
5	11	35	
5	12	4	
5	13	2	
5	14	5	
5	15	50	
5	16	33	
5	17	11	
5	18	27	
5	19	19	
5	20	40	
6	1	13	
6	2	27	
6	3	37	
6	4	45	
6	5	40	
6	6	0	
6	7	46	
6	8	21	
6	9	35	
6	10	29	
6	11	18	
6	12	2	
6	13	48	
6	14	3	
6	15	18	
6	16	43	
6	17	3	
6	18	7	
6	19	2	
6	20	31	
7	1	37	
7	2	42	
7	3	16	
7	4	40	
7	5	45	
7	6	20	
7	7	0	
7	8	41	
7	9	30	
7	10	32	
7	11	18	
7	12	48	
7	13	22	
7	14	32	
7	15	26	
7	16	10	
7	17	28	
7	18	18	
7	19	7	
7	20	48	
8	1	4	
8	2	37	
8	3	16	
8	4	7	
8	5	34	
8	6	20	
8	7	25	
8	8	0	
8	9	29	
8	10	22	
8	11	33	
8	12	30	
8	13	4	
8	14	20	
8	15	21	
8	16	19	
8	17	9	
8	18	16	
8	19	41	
8	20	50	
9	1	47	
9	2	24	
9	3	19	
9	4	46	
9	5	47	
9	6	2	
9	7	22	
9	8	6	
9	9	0	
9	10	30	
9	11	39	
9	12	15	
9	13	29	
9	14	42	
9	15	1	
9	16	44	
9	17	1	
9	18	35	
9	19	15	
9	20	25	
10	1	15	
10	2	38	
10	3	7	
10	4	44	
10	5	42	
10	6	28	
10	7	16	
10	8	10	
10	9	37	
10	10	0	
10	11	33	
10	12	2	
10	13	38	
10	14	29	
10	15	26	
10	16	8	
10	17	25	
10	18	22	
10	19	9	
10	20	46	
11	1	30	
11	2	38	
11	3	36	
11	4	44	
11	5	19	
11	6	29	
11	7	44	
11	8	12	
11	9	29	
11	10	30	
11	11	0	
11	12	27	
11	13	5	
11	14	44	
11	15	14	
11	16	14	
11	17	39	
11	18	7	
11	19	41	
11	20	5	
12	1	19	
12	2	29	
12	3	39	
12	4	20	
12	5	18	
12	6	18	
12	7	47	
12	8	25	
12	9	44	
12	10	21	
12	11	34	
12	12	0	
12	13	41	
12	14	50	
12	15	23	
12	16	26	
12	17	45	
12	18	41	
12	19	6	
12	20	40	
13	1	5	
13	2	37	
13	3	20	
13	4	33	
13	5	43	
13	6	15	
13	7	48	
13	8	8	
13	9	6	
13	10	5	
13	11	49	
13	12	12	
13	13	0	
13	14	23	
13	15	29	
13	16	50	
13	17	44	
13	18	47	
13	19	19	
13	20	41	
14	1	23	
14	2	12	
14	3	11	
14	4	6	
14	5	2	
14	6	12	
14	7	31	
14	8	29	
14	9	6	
14	10	21	
14	11	37	
14	12	45	
14	13	27	
14	14	0	
14	15	23	
14	16	16	
14	17	9	
14	18	17	
14	19	33	
14	20	9	
15	1	25	
15	2	38	
15	3	13	
15	4	25	
15	5	1	
